"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena","Chacarita"
2025-02-05 09:42:21,,13.72,0.00,,,,,,,,,,,,,
2025-02-05 09:42:58,,,,,1.02,,,,,,,,,,,
2025-02-05 09:43:06,0.00,,,,,,,,,,,,,,,
2025-02-05 09:43:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:43:33,,,,,,,,5.84,,,,,,,,
2025-02-05 09:44:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:45:15,,,,,,,,,,,,0.76,,,,
2025-02-05 09:45:37,,,,,,,,,,,,,,,,1.02
2025-02-05 09:46:32,,,,,,,0.25,,,,,,,,,
2025-02-05 09:46:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:46:59,,,,2.03,,,,,,,,,,,,
2025-02-05 09:47:05,,,,,,,,,,,,,,0.00,,
2025-02-05 09:47:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:47:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:47:21,,14.22,0.00,,,,,,,,,,,,2.03,
2025-02-05 09:47:58,,,,,1.27,,,,,,,,,,,
2025-02-05 09:48:05,0.00,,,,,,,,,,,,,,,
2025-02-05 09:48:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:48:33,,,,,,,,6.10,,,,,,,,
2025-02-05 09:49:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:50:15,,,,,,,,,,,,0.76,,,,
2025-02-05 09:50:37,,,,,,,,,,,,,,,,1.27
2025-02-05 09:51:32,,,,,,,0.51,,,,,,,,,
2025-02-05 09:51:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:51:59,,,,2.29,,,,,,,,,,,,
2025-02-05 09:52:05,,,,,,,,,,,,,,0.00,,
2025-02-05 09:52:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:52:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:52:21,,14.48,0.00,,,,,,,,,,,,0.00,
2025-02-05 09:52:58,,,,,1.52,,,,,,,,,,,
2025-02-05 09:53:05,0.00,,,,,,,,,,,,,,,
2025-02-05 09:53:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:53:33,,,,,,,,6.35,,,,,,,,
2025-02-05 09:54:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:55:15,,,,,,,,,,,,1.02,,,,
2025-02-05 09:55:37,,,,,,,,,,,,,,,,1.52
2025-02-05 09:56:32,,,,,,,0.51,,,,,,,,,
2025-02-05 09:56:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:56:59,,,,2.54,,,,,,,,,,,,
2025-02-05 09:57:05,,,,,,,,,,,,,,0.00,,
2025-02-05 09:57:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:57:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:57:21,,14.48,0.00,,,,,,,,,,,,0.00,
2025-02-05 09:57:58,,,,,1.52,,,,,,,,,,,
2025-02-05 09:58:06,0.00,,,,,,,,,,,,,,,
2025-02-05 09:58:10,,,,,,,,,0.00,,,,,,,
2025-02-05 09:58:33,,,,,,,,6.60,,,,,,,,
2025-02-05 09:59:22,,,,,,,,,,,,,0.00,,,
2025-02-05 10:00:15,,,,,,,,,,,,1.27,,,,
2025-02-05 10:00:37,,,,,,,,,,,,,,,,1.78
