Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Felipe Cardoso,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena
2024-12-01 08:24:15,,,,,,,,,,0.00,,,,,,
2024-12-01 08:24:45,,,,,,,,,,,,,0.76,,,
2024-12-01 08:24:47,,,,,,,,,,,,,,,0.00,
2024-12-01 08:24:51,,,0.25,,,,,,,,,,,,,
2024-12-01 08:24:55,,,,,,,,,,,,,,,,0.25
2024-12-01 08:24:56,,0.25,,,,,,,,,,,,,,
2024-12-01 08:25:31,0.00,,,,,,,,,,,,,,,
2024-12-01 08:25:36,,,,,,,,,0.00,,,,,,,
2024-12-01 08:25:52,,,,,,,,,,,0.00,,,,,
2024-12-01 08:25:52,,,,0.25,,,,,,,,,,,,
2024-12-01 08:26:41,,,,,,,,,,,,0.00,,,,
2024-12-01 08:28:36,,,,,,,0.00,,,,,,,,,
2024-12-01 08:28:37,,,,,,,,,,,,,,0.51,,
2024-12-01 08:28:52,,,,,,,,0.51,,,,,,,,
2024-12-01 08:29:10,,,,,0.51,,,,,,,,,,,
2024-12-01 08:29:12,,,,,,0.51,,,,,,,,,,
2024-12-01 08:29:15,,,,,,,,,,0.00,,,,,,
2024-12-01 08:29:45,,,,,,,,,,,,,0.76,,,
2024-12-01 08:29:47,,,,,,,,,,,,,,,0.00,
2024-12-01 08:29:51,,,0.25,,,,,,,,,,,,,
2024-12-01 08:29:55,,,,,,,,,,,,,,,,0.25
2024-12-01 08:29:56,,0.25,,,,,,,,,,,,,,
2024-12-01 08:30:30,0.00,,,,,,,,,,,,,,,
2024-12-01 08:30:36,,,,,,,,,0.00,,,,,,,
2024-12-01 08:30:52,,,,,,,,,,,0.00,,,,,
