"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena"
2024-11-26 02:08:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 02:08:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:08:41,0.20,,,,,,,,,,,,,,
2024-11-26 02:09:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:10:16,,,,0.00,,,,,,,,,,,
2024-11-26 02:10:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:10:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:11:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:12:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:12:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:12:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:13:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:13:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:13:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 02:13:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:13:40,0.20,,,,,,,,,,,,,,
2024-11-26 02:14:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:15:16,,,,0.00,,,,,,,,,,,
2024-11-26 02:15:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:15:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:16:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:17:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:17:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:17:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:18:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:18:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:18:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 02:18:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:18:41,0.20,,,,,,,,,,,,,,
2024-11-26 02:19:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:20:16,,,,0.00,,,,,,,,,,,
2024-11-26 02:20:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:20:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:22:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:22:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:22:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:23:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:23:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:23:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 02:23:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:23:41,0.20,,,,,,,,,,,,,,
2024-11-26 02:24:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:25:17,,,,0.00,,,,,,,,,,,
2024-11-26 02:25:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:25:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:26:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:27:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:27:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:27:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:28:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:28:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:28:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 02:28:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:28:40,0.20,,,,,,,,,,,,,,
2024-11-26 02:29:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:30:17,,,,0.00,,,,,,,,,,,
2024-11-26 02:30:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:30:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:31:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:32:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:32:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:32:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:33:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:33:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:33:07,,,0.00,,,,,,,,,,,,0.00
2024-11-26 02:33:08,,0.00,,,,,,,,,,,,,
2024-11-26 02:33:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:33:41,0.20,,,,,,,,,,,,,,
2024-11-26 02:34:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:35:17,,,,0.00,,,,,,,,,,,
2024-11-26 02:35:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:35:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:36:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:37:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:37:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:37:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:38:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:38:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:38:07,,,0.00,,,,,,,,,,,,0.00
2024-11-26 02:38:08,,0.00,,,,,,,,,,,,,
2024-11-26 02:38:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:38:41,0.20,,,,,,,,,,,,,,
2024-11-26 02:39:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:40:17,,,,0.00,,,,,,,,,,,
2024-11-26 02:40:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:40:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:41:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:42:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:42:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:42:58,,,,,,,,,,,,,,0.00,
2024-11-26 02:43:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:43:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:43:07,,,0.00,,,,,,,,,,,,0.00
2024-11-26 02:43:08,,0.00,,,,,,,,,,,,,
