Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena,Chacarita
2025-01-18 17:01:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:01:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:01:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:02:03,0.00,,,,,,,,,,,,,,,
2025-01-18 17:02:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:02:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:02:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:02:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:04:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:04:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:05:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:05:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:05:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:05:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:06:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:06:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:06:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:06:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:07:04,0.00,,,,,,,,,,,,,,,
2025-01-18 17:07:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:07:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:07:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:07:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:09:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:09:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:10:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:10:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:10:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:10:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:11:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:11:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:11:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:11:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:12:03,0.00,,,,,,,,,,,,,,,
2025-01-18 17:12:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:12:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:12:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:12:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:14:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:14:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:15:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:15:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:15:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:15:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:16:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:16:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:16:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:16:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:17:04,0.00,,,,,,,,,,,,,,,
2025-01-18 17:17:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:17:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:17:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:17:43,,,,,,,,,,,,,0.00,,,
2025-01-18 17:19:42,,,,,,,,,,,,0.00,,,,
2025-01-18 17:19:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:20:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:20:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:20:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:20:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:21:04,,,0.00,,,,,,,,,,,,,
2025-01-18 17:21:09,,,,,,,,,,,,,,0.00,,
2025-01-18 17:21:21,,,,,,,,,,,,,,,0.00,
2025-01-18 17:21:22,,0.00,,,,,,,,,,,,,,
2025-01-18 17:22:04,0.00,,,,,,,,,,,,,,,
2025-01-18 17:22:37,,,,,,,,0.00,,,,,,,,
2025-01-18 17:22:40,,,,,0.00,,,,,,,,,,,
2025-01-18 17:22:42,,,,,,,,,,,0.00,,,,,
2025-01-18 17:22:43,,,,,,,,,,,,,0.00,,,
